Date,Open,High,Low,Close,Adj Close,Volume
2020-08-26,661.0,661.0,635.0,651.0,651.0,2800
2020-08-27,669.7999877929688,683.5499877929688,669.0,683.5499877929688,683.5499877929688,181200
2020-08-28,717.7000122070312,717.7000122070312,717.7000122070312,717.7000122070312,717.7000122070312,600
2020-08-31,753.5499877929688,753.5499877929688,753.0,753.5499877929688,753.5499877929688,33400
2020-09-01,778.0,787.0,716.0,772.6500244140625,772.6500244140625,10000
2020-09-02,800.0,811.25,799.0,811.25,811.25,4400
2020-09-03,851.7999877929688,851.7999877929688,851.7999877929688,851.7999877929688,851.7999877929688,9400
2020-09-04,850.0,894.3499755859375,850.0,894.3499755859375,894.3499755859375,7800
2020-09-08,985.0,985.9500122070312,970.0,976.6500244140625,976.6500244140625,7400
2020-09-09,940.0,940.0,927.8499755859375,927.8499755859375,927.8499755859375,1400
2020-09-10,895.0499877929688,974.2000122070312,895.0499877929688,974.2000122070312,974.2000122070312,3400
2020-09-11,1022.9000244140625,1022.9000244140625,960.0,999.0999755859375,999.0999755859375,6600
2020-09-14,1000.0,1049.050048828125,1000.0,1046.5,1046.5,8400
2020-09-15,1040.0,1098.0,1040.0,1098.0,1098.0,3800
2020-09-16,1150.0,1151.0,1115.0,1119.0,1119.0,3600
2020-09-17,1110.0,1120.0,1063.050048828125,1110.0,1110.0,8200
2020-09-18,1085.0999755859375,1110.0,1085.0999755859375,1110.0,1110.0,1800
2020-09-21,1152.0,1155.0,1075.0,1075.050048828125,1075.050048828125,4800
2020-09-22,1022.0,1115.0,1021.2999877929688,1115.0,1115.0,10400
2020-09-23,1111.0,1111.0,1100.0,1100.0,1100.0,7000
2020-09-24,1100.0,1120.0,1100.0,1100.0,1100.0,3400
2020-09-25,1105.0,1151.9000244140625,1105.0,1150.699951171875,1150.699951171875,1600
2020-09-28,1152.0,1208.199951171875,1152.0,1208.199951171875,1208.199951171875,3200
2020-09-29,1265.0,1268.5999755859375,1190.0,1268.5999755859375,1268.5999755859375,3600
2020-09-30,1282.25,1332.0,1282.199951171875,1332.0,1332.0,2600
2020-10-01,1397.0,1398.5999755859375,1397.0,1398.5999755859375,1398.5999755859375,5600
2020-10-02,1398.5999755859375,1398.5999755859375,1398.5999755859375,1398.5999755859375,1398.5999755859375,0
2020-10-05,1440.0,1468.5,1328.699951171875,1334.4000244140625,1334.4000244140625,9000
2020-10-06,1304.25,1349.0,1303.0,1349.0,1349.0,1000
2020-10-07,1302.0,1304.25,1281.550048828125,1281.550048828125,1281.550048828125,2000
2020-10-08,1225.0,1225.0,1217.5,1221.0,1221.0,2400
2020-10-09,1200.0,1210.0,1200.0,1210.0,1210.0,800
2020-10-12,1210.0,1210.0,1210.0,1210.0,1210.0,0
2020-10-13,1185.0,1250.0,1185.0,1250.0,1250.0,1200
2020-10-14,1284.9000244140625,1312.5,1284.9000244140625,1312.5,1312.5,1000
2020-10-15,1350.0,1350.0,1350.0,1350.0,1350.0,200
2020-10-16,1335.0,1335.0,1301.0,1317.0,1317.0,800
2020-10-19,1349.5,1382.8499755859375,1349.5,1382.8499755859375,1382.8499755859375,2200
2020-10-20,1451.0,1451.0,1400.0,1432.0,1432.0,3000
2020-10-21,1433.0,1433.0,1419.0,1419.0,1419.0,400
2020-10-22,1380.0,1430.0,1360.0,1430.0,1430.0,1600
2020-10-23,1430.0,1430.0,1430.0,1430.0,1430.0,0
2020-10-26,1450.0,1450.0,1362.0,1362.0,1362.0,2000
2020-10-27,1363.0,1363.0,1363.0,1363.0,1363.0,400
2020-10-28,1320.0,1340.0,1300.0,1300.0,1300.0,800
2020-10-29,1300.0,1350.0,1300.0,1350.0,1350.0,1200
2020-10-30,1350.0,1350.0,1350.0,1350.0,1350.0,0
2020-11-02,1403.0,1403.0,1403.0,1403.0,1403.0,200
2020-11-03,1355.0,1355.0,1333.0,1333.0,1333.0,600
2020-11-04,1370.0,1399.6500244140625,1370.0,1370.0,1370.0,1600
2020-11-05,1370.0,1370.0,1370.0,1370.0,1370.0,0
2020-11-06,1350.0,1370.0,1350.0,1355.050048828125,1355.050048828125,700
2020-11-09,1388.949951171875,1400.0,1388.949951171875,1394.0,1394.0,1100
2020-11-10,1394.0,1394.0,1394.0,1394.0,1394.0,0
2020-11-11,1371.0,1371.0,1324.300048828125,1324.300048828125,1324.300048828125,1500
2020-11-12,1275.3499755859375,1275.3499755859375,1261.0,1263.5,1263.5,1100
2020-11-13,1260.5,1326.0,1260.5,1315.0,1315.0,1400
2020-11-16,1315.0,1315.0,1315.0,1315.0,1315.0,0
2020-11-17,1311.0,1350.0,1300.0,1307.300048828125,1307.300048828125,3000
2020-11-18,1297.0,1299.0,1260.199951171875,1260.199951171875,1260.199951171875,1300
2020-11-19,1206.0,1217.0,1197.199951171875,1204.75,1204.75,2900
2020-11-20,1260.0,1260.0,1211.0,1211.0,1211.0,200
2020-11-23,1205.0,1230.0,1190.0,1217.0,1217.0,1600
2020-11-24,1190.0,1277.8499755859375,1171.0,1275.75,1275.75,2800
2020-11-25,1226.0,1226.0,1212.0,1212.0,1212.0,1600
2020-11-27,1205.0,1205.0,1205.0,1205.0,1205.0,100
2020-11-30,1205.0,1205.0,1205.0,1205.0,1205.0,0
2020-12-01,1165.0,1225.0,1165.0,1225.0,1225.0,200
2020-12-02,1190.0,1190.0,1190.0,1190.0,1190.0,100
2020-12-03,1175.0,1225.0,1175.0,1185.0,1185.0,600
2020-12-04,1185.0,1185.0,1185.0,1185.0,1185.0,0
2020-12-07,1225.0,1225.0,1220.0,1220.0,1220.0,1100
2020-12-08,1220.0,1220.0,1220.0,1220.0,1220.0,1500
2020-12-09,1220.0,1220.0,1220.0,1220.0,1220.0,0
2020-12-10,1186.0,1186.0,1151.0,1175.0,1175.0,600
2020-12-11,1150.0,1150.0,1133.0,1133.0,1133.0,500
2020-12-14,1056.1500244140625,1088.8499755859375,1056.1500244140625,1080.8499755859375,1080.8499755859375,1200
2020-12-15,1062.0,1075.0,1055.0,1070.0,1070.0,1500
2020-12-16,1070.0,1111.0,1070.0,1090.25,1090.25,1400
2020-12-17,1055.3499755859375,1085.0,1055.0,1080.0,1080.0,600
2020-12-18,1085.0,1088.0,1080.0,1080.0,1080.0,300
2020-12-21,1085.0,1090.0,1065.0,1085.0,1085.0,1800
2020-12-22,1055.0,1070.0,980.0,1062.3499755859375,1062.3499755859375,1900
2020-12-23,1052.0,1052.0,1048.0,1048.0,1048.0,900
2020-12-24,1000.0,1050.0,1000.0,1050.0,1050.0,2900
2020-12-28,1050.0,1080.0,1050.0,1051.0,1051.0,1300
2020-12-29,1030.0,1109.0,1030.0,1050.8499755859375,1050.8499755859375,4200
2020-12-30,1050.0,1130.0,1050.0,1123.0,1123.0,4100
2020-12-31,1150.0,1179.800048828125,1142.0,1142.0,1142.0,600
2021-01-04,1100.0,1130.0,1100.0,1100.0,1100.0,800
2021-01-05,1075.0999755859375,1210.0,1075.0,1191.949951171875,1191.949951171875,6100
2021-01-06,1210.0,1250.0,1210.0,1221.0,1221.0,1800
